Datum,Uhrzeit,Ort,Google Maps Link
26.04.2022,16.00h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
12.05.2022,10.00h,Nordhorn Konzert und Theatersaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nordhorn Konzert und Theatersaal, Ootmarsumer Weg 14 , 48527 Nordhorn"
23.06.2022,11.00h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
04.11.2021,11.30h,Witten Albert-Martmöller-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Albert-Martmöller-Gymnasium, Oberdorf 9, 58452 Witten"
04.11.2021,9.30h,Witten Albert-Martmöller-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Albert-Martmöller-Gymnasium, Oberdorf 9, 58452 Witten"
23.09.2021,19.30h,Hameln-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hameln-Theater, Rathausplatz 5, 31785 Hameln"
13.11.2021,19.00h,Vreden Theater- und Konzertsaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Vreden Theater- und Konzertsaal, Zwillbrocker Straße 13, 48691 Vreden"
28.01.2022,20.00h,Kamen Konzertaula,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Kamen Konzertaula, Hammer Straße 19, 59174 Kamen"
20.02.2022,19.30h,Schüttorf Theater der Obergrafschaft,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Schüttorf Theater der Obergrafschaft, Hermann-Schlikker-Straße 1-3, 48465 Schüttorf"
21.02.2022,19.30h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
12.03.2022,19.30h,Monheim Aula am Berliner Ring,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Monheim Aula am Berliner Ring, Berliner Ring 8, 40789 Monheim am Rhein"
08.04.2022,20.00h,Rheinberg Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheinberg Stadthalle, Kirchplatz 10, 47495 Rheinberg"
02.07.2021,20.00h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
03.07.2021,20.00h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
25.02.2022,10.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
25.02.2022,13.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
25.01.2022,20.00h,Ratingen Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Ratingen Stadttheater, Europaring 9, 40878 Ratingen"
18.02.2022,19.30h,Witten Saalbau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Saalbau, Bergerstraße 25, 58452 Witten"
27.04.2022,20.00h,Lippstadt Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lippstadt Stadttheater, Cappeltor 3-5, 59555 Lippstadt"
07.09.2021,20.00h,Erkelenz Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Erkelenz Stadthalle, Franziskanerplatz 11, 41812 Erkelenz"
25.09.2021,20.00h,Siegen Apollo-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Siegen Apollo-Theater , Morleystr. 1, 57072 Siegen"
14.01.2022,20.00h,Kamp-Lintfort Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Kamp-Lintfort Stadthalle, Moerser Straße 167, 47475 Kamp-Lintfort"
05.03.2022,19.30h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
04.04.2022,20.00h,Brilon Kolpinghaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Brilon Kolpinghaus, Propst-Meyer-Straße 7, 59929 Brilon"
05.05.2022,20.00h,Nordhorn Konzert und Theatersaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nordhorn Konzert und Theatersaal, Ootmarsumer Weg 14 , 48527 Nordhorn"
17.05.2022,19.30h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
19.06.2021,20.00h,Bocholt Innenhof,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bocholt Innenhof, Industriestraße 5, 46395 Bocholt"
10.09.2021,20.00h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
