Datum,Uhrzeit,Ort,Google Maps Link
26.04.2023,11.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
03.05.2023,9.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
20.09.2021,10.30h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
28.10.2021,10.30h,Castrop-Rauxel Städt. Kindergarten Öko-Insel,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Städt. Kindergarten Öko-Insel, Westricher Straße 10, 44577 Castrop-Rauxel"
01.12.2021,10.30h,Castrop-Rauxel Gemeindezentrum St. Lambertus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Gemeindezentrum St. Lambertus, Lambertusplatz 17, 44575 Castrop-Rauxel"
10.12.2021,15.00h,Bocholt Aula des August-Vetter-Berufskollegs,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bocholt Aula des August-Vetter-Berufskollegs, Dinxperloer Straße 56, 46399 Bocholt"
10.12.2021,17.00h,Bocholt Aula des August-Vetter-Berufskollegs,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bocholt Aula des August-Vetter-Berufskollegs, Dinxperloer Straße 56, 46399 Bocholt"
14.12.2021,10.30h,Castrop-Rauxel Kindergarten Arche,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Kindergarten Arche, Emscherbruch 60a, 44581 Castrop-Rauxel"
14.12.2021,12.00h,Castrop-Rauxel Kindergarten Arche,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Kindergarten Arche, Emscherbruch 60a, 44581 Castrop-Rauxel"
31.01.2022,10.30h,Castrop-Rauxel Kindertagesstätte Kinderland,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Kindertagesstätte Kinderland, Kleine Lönsstr. 69, 44575 Castrop-Rauxel"
29.03.2022,10.30h,Bottrop Kath. Kita St. Peter,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bottrop Kath. Kita St. Peter, Scharnhölzstraße 291, 46240 Bottrop"
24.05.2022,10.30h,Bottrop Kath. Kita St. Pius,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bottrop Kath. Kita St. Pius, Brunhildenweg 10, 46240 Bottrop"
20.06.2022,10.30h,Bottrop Kath. Kita St. Cyriakus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bottrop Kath. Kita St. Cyriakus, Brauerstraße 19 a, 46236 Bottrop"
14.11.2022,8.30h,Berlin Philip-Reis-Schule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Berlin Philip-Reis-Schule, Werneuchener Straße 15, 13055 Berlin"
14.11.2022,10.30h,Berlin Philip-Reis-Schule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Berlin Philip-Reis-Schule, Werneuchener Straße 15, 13055 Berlin"
14.11.2022,14.00h,Berlin Mentora-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Berlin Mentora-Gymnasium, Salzufer 6, 10587 Berlin"
15.11.2022,10.00h,Berlin Rudolf-Virchow-Oberschule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Berlin Rudolf-Virchow-Oberschule, Glambecker Ring 90, 12679 Berlin"
15.11.2022,14.00h,Berlin Sophie-Brahe-Schule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Berlin Sophie-Brahe-Schule, Am Plänterwald 17, 12435 Berlin"
18.06.2021,20.00h,Bocholt Innenhof,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bocholt Innenhof, Industriestraße 5, 46395 Bocholt"
23.06.2021,20.00h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
31.08.2021,20.00h,Nienburg Theater auf dem Hornwerk,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nienburg Theater auf dem Hornwerk, Mühlentorsweg 2, 31582 Nienburg (Weser)"
04.09.2021,19.30h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
21.09.2021,19.30h,Leverkusen KulturStadtLev - Forum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Leverkusen KulturStadtLev - Forum, Am Büchelter Hof 9, 51373 Leverkusen"
01.10.2021,20.00h,Gifhorn Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gifhorn Stadthalle, Schützenplatz 2, 38518 Gifhorn"
04.12.2021,19.30h,Sulingen Stadttheater im Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sulingen Stadttheater im Gymnasium, Schmelingstraße, 27232 Sulingen"
31.12.2021,22.00h,Siegen Apollo-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Siegen Apollo-Theater , Morleystr. 1, 57072 Siegen"
18.01.2022,20.00h,Minden Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Minden Stadttheater, Tonhallenstraße 3, 32423 Minden"
20.01.2022,19.30h,Rheine Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheine Stadthalle, Humboldplatz 10, 48429 Rheine"
22.01.2022,20.00h,Dorsten Realschule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Dorsten Realschule, Nonnenkamp 14, 46282 Dorsten"
12.02.2022,19.30h,Remscheid Teo Otto Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Remscheid Teo Otto Theater, Konrad-Adenauer-Straße 31-33, 42853 Remscheid"
23.03.2022,20.00h,Kamp-Lintfort Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Kamp-Lintfort Stadthalle, Moerser Straße 167, 47475 Kamp-Lintfort"
29.04.2022,20.00h,Lennestadt Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lennestadt Theater, Anne-Frank-Platz 2, 57368 Lennestadt"
30.06.2022,20.30h,Wetzlar Rosengärtchen,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wetzlar Rosengärtchen, Wöllbachertorstraße, 35578 Wetzlar"
23.09.2022,18.00h,Salzgitter Freilichtbühne - Union-Stadion,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Salzgitter Freilichtbühne - Union-Stadion, Friedrich-Ebert-Straße 110, 38259 Salzgitter"
29.10.2022,19.30h,Hamm Kurhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hamm Kurhaus, Ostenallee 87, 59071 Hamm"
03.11.2022,20.00h,Lippstadt Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lippstadt Stadttheater, Cappeltor 3-5, 59555 Lippstadt"
05.11.2022,19.30h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
27.09.2021,20.00h,Dorsten Realschule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Dorsten Realschule, Nonnenkamp 14, 46282 Dorsten"
22.10.2021,19.30h,Witten Saalbau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Saalbau, Bergerstraße 25, 58452 Witten"
04.11.2021,19.30h,Hamm Kurhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hamm Kurhaus, Ostenallee 87, 59071 Hamm"
10.11.2021,19.30h,Radevormwald Bürgerhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Radevormwald Bürgerhaus, Schlossmacherstraße 4-5, 42477 Radevormwald"
17.11.2021,19.30h,Hameln-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hameln-Theater, Rathausplatz 5, 31785 Hameln"
07.01.2022,19.30h,Bad Oeynhausen Theater im Park,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bad Oeynhausen Theater im Park, Im Kurpark, 32545 Bad Oeynhausen"
22.02.2022,20.00h,Herford Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herford Stadttheater, Mindener Straße 11, 32049 Herford"
05.04.2022,19.30h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
07.04.2022,19.30h,Lüdenscheid Kulturhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lüdenscheid Kulturhaus, Freiherr-vom-Stein-Str. 9, 58511 Lüdenscheid"
08.05.2022,18.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
19.05.2022,20.00h,Unna Erich-Göpfert-Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Unna Erich-Göpfert-Stadthalle, Parkstraße 44, 59425 Unna"
15.09.2021,20.00h,Gladbeck Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gladbeck Stadthalle, Friedrichstr. 53, 45964 Gladbeck"
20.10.2021,20.00h,Gifhorn Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gifhorn Stadthalle, Schützenplatz 2, 38518 Gifhorn"
11.11.2021,19.30h,Bottrop Josef-Albers-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bottrop Josef-Albers-Gymnasium, Zeppelinstr. 20, 46236 Bottrop"
26.11.2021,20.00h,Delbrück Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Delbrück Stadthalle, Boker Straße 6, 33129 Delbrück"
01.12.2021,20.00h,Lünen Heinz-Hilpert-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lünen Heinz-Hilpert-Theater, Kurt-Schumacher-Straße 39, 44532 Lünen"
09.12.2021,20.00h,Nordhorn Konzert und Theatersaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nordhorn Konzert und Theatersaal, Ootmarsumer Weg 14 , 48527 Nordhorn"
14.12.2021,20.00h,Herford Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herford Stadttheater, Mindener Straße 11, 32049 Herford"
22.12.2021,20.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
22.12.2021,17.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
29.01.2022,20.00h,St. Augustin Aula des Rhein-Sieg-Gymnasiums,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=St. Augustin Aula des Rhein-Sieg-Gymnasiums, Hubert-Minz-Str. 20, 53757 Sankt Augustin"
09.03.2022,20.00h,Wesel Städtisches Bühnenhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wesel Städtisches Bühnenhaus, Ritterstraße 12-14, 46483 Wesel"
24.04.2022,20.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
24.04.2022,17.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
03.05.2022,19.30h,Rheine Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheine Stadthalle, Humboldplatz 10, 48429 Rheine"
18.06.2022,19.30h,Sulingen Stadttheater im Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sulingen Stadttheater im Gymnasium, Schmelingstraße, 27232 Sulingen"
27.09.2022,20.00h,Kevelaer Konzerthaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Kevelaer Konzerthaus, Bury-St.-Edmunds-Straße 5, 47623 Kevelaer"
19.10.2022,19.30h,Lüdenscheid Kulturhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lüdenscheid Kulturhaus, Freiherr-vom-Stein-Str. 9, 58511 Lüdenscheid"
25.10.2022,20.00h,Witten Saalbau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Saalbau, Bergerstraße 25, 58452 Witten"
04.11.2022,19.30h,Hagen Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hagen Theater, Elberfelder Straße 65, 58095 Hagen"
07.12.2022,20.00h,Erkrath Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Erkrath Stadthalle, Neanderstraße 58, 40699 Erkrath"
19.01.2023,20.00h,Vreden Theater- und Konzertsaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Vreden Theater- und Konzertsaal, Zwillbrocker Straße 13, 48691 Vreden"
08.03.2023,19.30h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
19.03.2024,20.00h,Ibbenbüren Bürgerhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Ibbenbüren Bürgerhaus, Wilhelmstraße 16, 49477 Ibbenbüren"
02.06.2021,9.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
02.06.2021,11.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
20.06.2021,16.00h,Bocholt Innenhof,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bocholt Innenhof, Industriestraße 5, 46395 Bocholt"
04.07.2021,15.00h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
25.08.2021,16.30h,Gladbeck Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gladbeck Stadthalle, Friedrichstr. 53, 45964 Gladbeck"
05.09.2021,15.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
28.09.2021,15.30h,Witten Saalbau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Saalbau, Bergerstraße 25, 58452 Witten"
04.10.2021,16.00h,Rheinberg Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheinberg Stadthalle, Kirchplatz 10, 47495 Rheinberg"
07.10.2021,10.00h,Wesel Städtisches Bühnenhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wesel Städtisches Bühnenhaus, Ritterstraße 12-14, 46483 Wesel"
07.10.2021,16.00h,Wesel Städtisches Bühnenhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wesel Städtisches Bühnenhaus, Ritterstraße 12-14, 46483 Wesel"
27.10.2021,15.30h,Lüdenscheid Kulturhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lüdenscheid Kulturhaus, Freiherr-vom-Stein-Str. 9, 58511 Lüdenscheid"
04.11.2021,16.30h,Bottrop Josef-Albers-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bottrop Josef-Albers-Gymnasium, Zeppelinstr. 20, 46236 Bottrop"
11.12.2021,15.00h,Recklinghausen Ruhrfestspielhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Recklinghausen Ruhrfestspielhaus, Otto-Burmeister-Allee 1, 45657 Recklinghausen"
13.12.2021,11.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
14.12.2021,9.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
14.12.2021,11.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
15.12.2021,9.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
20.12.2021,18.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
21.12.2021,9.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
21.12.2021,11.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
22.12.2021,9.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
22.12.2021,11.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
24.04.2022,15.00h,Sulingen Stadttheater im Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sulingen Stadttheater im Gymnasium, Schmelingstraße, 27232 Sulingen"
29.04.2022,11.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
02.06.2022,9.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
02.06.2022,11.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
19.06.2022,16.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
20.06.2022,10.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
20.06.2022,14.15h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
21.06.2022,10.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
22.06.2022,10.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
27.08.2022,16.00h,Tönisvorst Forum Corneliusfeld,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Tönisvorst Forum Corneliusfeld, Corneliusstraße 25, 47918 Tönisvorst"
31.08.2022,16.00h,Kleve Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Kleve Stadthalle, Lohstätte, 47533 Kleve"
24.09.2022,14.00h,Salzgitter Freilichtbühne - Union-Stadion,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Salzgitter Freilichtbühne - Union-Stadion, Friedrich-Ebert-Straße 110, 38259 Salzgitter"
06.11.2022,16.00h,Nienburg Theater auf dem Hornwerk,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nienburg Theater auf dem Hornwerk, Mühlentorsweg 2, 31582 Nienburg (Weser)"
07.11.2022,10.00h,Nienburg Theater auf dem Hornwerk,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nienburg Theater auf dem Hornwerk, Mühlentorsweg 2, 31582 Nienburg (Weser)"
08.01.2023,15.00h,Warendorf Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Warendorf Theater, Wilhelmsplatz 9, 48231 Warendorf"
12.01.2023,9.00h,Radevormwald Bürgerhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Radevormwald Bürgerhaus, Schlossmacherstraße 4-5, 42477 Radevormwald"
13.01.2023,9.00h,Radevormwald Bürgerhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Radevormwald Bürgerhaus, Schlossmacherstraße 4-5, 42477 Radevormwald"
21.03.2023,15.00h,Nettetal Seerosensaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nettetal Seerosensaal, Steegerstraße 38, 41334 Nettetal"
27.04.2023,10.00h,Borken Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Borken Stadthalle, Vennehof, 46325 Borken"
27.04.2023,16.00h,Borken Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Borken Stadthalle, Vennehof, 46325 Borken"
16.06.2023,10.00h,Badbergen Hof Sickmann-Oldenhage,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Badbergen Hof Sickmann-Oldenhage, Dammort 2, 49635 Badbergen"
18.11.2023,16.00h,Lippstadt Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lippstadt Stadttheater, Cappeltor 3-5, 59555 Lippstadt"
10.12.2023,16.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
11.12.2023,9.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
11.12.2023,11.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
12.12.2023,9.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
13.12.2023,9.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
14.01.2024,16.00h,Solingen Theater und Konzerthaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Solingen Theater und Konzerthaus, Konrad-Adenauer-Straße 71, 42651 Solingen"
07.05.2024,16.00h,Minden Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Minden Stadttheater, Tonhallenstraße 3, 32423 Minden"
01.06.2021,9.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
